Sweden,Sweden,,
Switzerland,Switzerland,,
Syria,Syrian Arab Republic,,
Tajikistan,Tajikistan,,
Tanzania,Tanzania,,
Thailand,Thailand,,
The Bahamas,"Bahamas, The",,Timor-Leste
The Gambia,"Gambia, The",,
Togo,Togo,,
Tonga,Tonga,,
Trinidad and Tobago,Trinidad and Tobago,,
Tunisia,Tunisia,,
Turkey,Turkey,,
Turkmenistan,Turkmenistan,,
Turks and Caicos Islands,Turks and Caicos Islands,,
Tuvalu,Tuvalu,,
Uganda,Uganda,,
Ukraine,Ukraine,,
United Arab Emirates,United Arab Emirates,,
United Kingdom,United Kingdom,,
United States Minor Outlying Islands,,,
United States Minor Outlying Islands,,,
United States Minor Outlying Islands,,,
United States Minor Outlying Islands,,,
United States Minor Outlying Islands,,,
United States Minor Outlying Islands,,,
United States Minor Outlying Islands,,,
United States Minor Outlying Islands,,,
United States Minor Outlying Islands,,,
United States of America,United States,,
United States Virgin Islands,Virgin Islands (U.S.),,
Uruguay,Uruguay,,
Uzbekistan,Uzbekistan,,
Vanuatu,Vanuatu,,
Vatican City,,,
Venezuela,"Venezuela, RB",,
Vietnam,Vietnam,,
Wallis and Futuna,,,
Yemen,"Yemen, Rep.",,
Zambia,Zambia,,
Zimbabwe,Zimbabwe,,
